Comment,Designator,Footprint, DigiKey,Quantity
6.8u,"C1,C13,C2,C14,C3,C15",Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,565-4006-ND,6
2.2u,"C4,C10,C5,C11,C6,C12",Capacitor_SMD:C_1206_3216Metric,1276-3137-1-ND,6
15n,"C7,C8,C9",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,732-12189-1-ND,3
~,#FB1,,240-2497-ND,1
EMI_Filter_CLC,"FL1,FL2,FL3",dac:4700-008MLF,410-1196-1-ND,3
15u,"L1,L2,L3",dac:NRS5020T150MMGJ,587-2410-1-ND,3
RAC20-12DK,PS1,CONV_RAC20-12DK,945-3239-ND,1
RAC03-05SK,PS2,CONV_RAC03-05SK,945-3441-ND,1
IEC 320-C14 socket,#J1,,Q334-ND ,1
XLR5,#J2,,1937-1035-ND,1
